S No,Aptitude and Logic (A1),Independent Studies (A2),Interest (A3),Theoretical Knowledge (A4),Practical Knowledge (A5),Seriousness (A6),Hardwork (A7),Retention (A8),Extra Curricular (A9)
3,0,1.5,2,2.5,1,2.75,2.75,2.25,0.5
4,1.5,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0.25,0.5,0,0
6,1,0,0,0,0,0,0.25,1,0
7,2.5,1.25,1,0.5,2.25,0,0.75,0,2.5
8,0,0.5,1.25,0.75,1.5,0,0.75,0,2
9,0.75,1.25,1,0.75,1.5,0,0.75,0,2.5
10,1.5,0.25,0,0,0,0,0,0,0.25
11,0,0,0,0,0,0.5,0,0,1.5
12,0,0,0,0,0,0.5,0,0,1.75
13,0,0,0,0,0,0,0,0,0
14,0,0.25,2.25,2,0,2,0.25,1,0
,0,0,0,0,0,0,0,0,0
15,0,0,1,0.5,0,1.25,0.25,0,0
16,0,0.75,0.25,0.5,0,1.25,0.25,0,0
17,0,0.75,1.25,0.75,0,1.5,1.25,0.5,0
18,0,0,1.25,2.25,0,0.25,0.75,0.25,0
19,0,0.25,1.5,2,0,0.25,0.5,0.25,0
20,0,1,1.5,1,0,0.5,1.75,0.75,0.25
21,0,0,1.75,1.5,0,0.5,1.25,0,0
22,0.5,0.5,2,0.25,2.5,2.25,1.75,0,0
23,0,0,0,0,0,1.75,0,0,0
24,0,0,1.25,0,0,2,0.25,0,0
25,0,0.75,1.5,1.5,0,0.5,1.25,0.75,0
26,0,0,0,0.25,0,0,0,1.25,0
27,0,0.25,0.5,0.5,0.25,0,0,0,0
28,0,0.25,0,0,0,0,0,0,0
29,0,1.25,2,0,1,2,1.25,0,0.75
30,0,1,0,0,0,2.5,2.25,0,0
31,0.25,0.25,0.25,0.75,0.5,0.5,0.5,0,0
32,0.25,0.25,0.25,0.25,1,0.5,0.5,0,0
33,0.25,0.25,0.25,0.25,1,0,0,0,0.25
34,0.25,0.75,0.75,0.25,1,0,0.5,0,1.25
35,0,0,0,0,0,0,0,0,0
36,0,1.75,1.5,1.75,0,1.5,1,0.75,0
37,0,1.5,1.25,0.5,0.25,0.75,0.5,0.25,0
38,0,0,1.25,0.75,0,1.5,0,0.25,0
